UID,Name,Position,Age,Height,Weight,Inf,Club,Division,Nat,2nd Nat,Home-Grown Status,Personality,Media Handling,Wage,Transfer Value,Asking Price,Preferred Foot,Yel,xG,Starts,Red,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,Mins,Gls/90,Conc,Gls,Fls,FA,xG/90,xG-OP,xA/90,xA,Con/90,Clean Sheets,Av Rat,Mins/Gl,Ast,Hdrs A,Apps,Tck/90,Tck W,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,xSv %,xGP/90,xGP,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,Fixed_Positions
27143309,Alexander Jensen,"D (RL), WB (R), M (RC)",24,180 cm,70 kg,,Aberdeen,William Hill Premiership,DEN,,-,,Scouting Required,6500.0,€800K - €18M,-,Right,4,2.35,39,0,2,-,0,-,-,-,0,3522,0.03,-,1,23,36,0.06,-1.35,0.14,5.58,-,-,6.95,0.00,0,143,39 (2),2.66,104,131,79%,0.59,22%,0.13,5,0.20,0.97,38,23,-,-,-,-,6.03,236,2.43,95,8.71,341,12.44,13.16,41.73,1633,47.89,1874,87%,0.84,33,0.05,2,1.97,77,10%,0,0,0.31,12,0.84,33,0.13,2.50,98,15.49,57%,2.07,81,1.58,2,-,-,-,0.82,32,0.0km,491.3km,0.05,2,1.97,77,2%,4%,1.46,57,9,0.56,1.12,44,-,3.65,"['DR', 'DL', 'WBR', 'MR', 'MC']"
28121438,Leighton Clarkson,"DM, M/AM (C)",24,175 cm,62 kg,,Aberdeen,William Hill Premiership,ENG,,Trained in nation (15-21),,Scouting Required,33500.0,€220K - €22M,-,Right,6,5.24,29,0,1,-,0,-,-,-,0,2911,0.06,-,2,24,26,0.16,-3.24,0.07,2.27,-,-,6.83,0.00,3,119,29 (15),1.89,61,74,82%,1.27,24%,0.31,10,0.46,0.00,0,41,-,-,-,-,3.65,118,2.66,86,10.94,354,12.49,11.84,37.07,1199,42.26,1367,88%,1.21,39,0.06,2,0.77,25,78%,4,0,0.12,4,1.64,53,0.03,1.58,51,10.85,32%,1.17,38,2.50,2,-,-,-,0.90,29,0.0km,394.0km,0.34,11,2.10,68,8%,5%,0.74,24,5,1.14,0.34,11,0.09,3.68,"['MC', 'AMC']"
2000032635,Ryan Duncan,AM (RL),22,185 cm,80 kg,,Aberdeen,William Hill Premiership,SCO,,-,,Scouting Required,4900.0,€50K - €500K,-,Left Only,0,1.8,3,0,0,-,0,-,-,-,0,766,0.12,-,1,10,11,0.21,-0.8,0.07,0.63,-,-,6.72,0.00,1,53,3 (17),1.88,16,17,94%,1.88,31%,0.59,5,0.70,0.00,0,16,-,-,-,-,1.88,16,2.7,23,11.51,98,3.88,19.27,31.14,265,36.42,310,85%,0.94,8,0.59,5,4.11,35,41%,4,0,0.0,0,1.41,12,0.0,2.00,17,13.04,40%,2.47,21,3.76,0,-,-,-,3.05,26,0.0km,114.7km,0.70,6,6.34,54,14%,6%,0.59,5,2,0.34,0.23,2,0.12,6.23,"['AMR', 'AML']"
2000019651,Nicolas Milanovic,"M (L), AM (RLC)",24,185 cm,75 kg,,Aberdeen,William Hill Premiership,AUS,,-,Balanced,Media-friendly,2800.0,€24K - €250K,-,Left,1,3.46,25,0,2,-,0,-,-,-,0,2203,-,-,0,24,32,0.14,-3.46,0.12,2.9,-,-,6.76,-,4,158,25 (18),2.49,61,68,90%,1.27,45%,0.57,14,0.53,0.00,0,31,-,-,-,-,2.29,56,3.1,76,12.62,309,3.92,17.93,25.62,627,29.95,733,86%,1.18,29,0.33,8,3.39,83,32%,7,0,0.0,0,1.18,29,0.08,1.96,48,15.12,20%,1.27,31,5.19,1,-,-,-,2.21,54,0.0km,298.1km,0.33,8,3.39,83,9%,-,0.57,14,1,0.06,0.29,7,0.16,6.45,"['ML', 'AMR', 'AML', 'AMC']"
2000013778,Marko LazetiÄ,"AM (L), ST (C)",22,192 cm,80 kg,,Aberdeen,William Hill Premiership,SRB,,-,,Scouting Required,4300.0,€200K - €2M,-,Right,0,2.51,5,0,0,-,0,-,-,-,0,546,0.33,-,2,3,12,0.41,-0.51,0.08,0.48,-,-,6.74,0.00,1,61,5 (12),1.65,10,11,91%,4.62,43%,1.98,12,1.32,0.00,0,28,-,-,-,-,0.82,5,1.65,10,5.27,32,1.15,23.41,18.79,114,21.43,130,88%,0.82,5,0.00,0,0.82,5,0%,0,0,0.0,0,0.82,5,0.16,0.49,3,6.26,31%,3.13,19,6.92,1,-,-,-,0.33,2,0.0km,66.6km,0.00,0,0.82,5,-,7%,0.33,2,0,-,0.16,1,0.16,10.05,"['AML', 'STC']"
53031654,Sivert Heltne Nilsen,"D (C), DM, M (C)",34,184 cm,78 kg,,Aberdeen,William Hill Premiership,NOR,,-,,Scouting Required,10750.0,€35K - €325K,-,Right,3,1.12,24,1,2,-,0,-,-,-,0,2278,0.04,-,1,43,21,0.04,-0.12,0.13,3.25,-,-,6.81,0.00,6,100,24 (13),2.69,68,88,77%,0.36,22%,0.08,2,0.16,0.67,17,9,-,-,-,-,4.11,104,2.88,73,9.32,236,14.22,5.02,46.03,1165,52.47,1328,88%,0.75,19,0.20,5,0.55,14,64%,2,0,0.0,0,0.75,19,0.32,1.22,31,11.65,56%,2.21,56,1.74,0,-,-,-,0.40,10,0.0km,321.8km,0.20,5,0.55,14,35%,11%,0.67,17,3,0.31,0.40,10,0.24,3.95,"['DC', 'MC']"
29217702,Shayden Morris,WB/M/AM (R),24,178 cm,70 kg,,Aberdeen,William Hill Premiership,ENG,,Trained in nation (15-21),,Scouting Required,21500.0,€130K - €13M,-,Right Only,0,6.35,33,0,6,-,0,-,-,-,0,2792,0.29,-,9,18,39,0.2,2.65,0.06,1.87,-,-,6.96,0.00,0,185,33 (6),2.45,76,88,86%,2.06,50%,1.03,32,0.64,0.00,0,64,-,-,-,-,2.26,70,3.64,113,12.44,386,3.48,19.66,27.88,865,32.91,1021,85%,1.1,34,0.39,12,3.35,104,42%,3,0,0.03,1,1.10,34,0.1,2.10,65,14.92,46%,2.74,85,3.22,4,-,-,-,3.61,112,0.0km,379.3km,0.39,12,3.48,108,11%,14%,0.93,29,4,0.38,0.35,11,-,5.96,"['WBR', 'MR', 'AMR']"
49048441,Adil Aouchiche,M/AM (C),23,181 cm,72 kg,,Aberdeen,William Hill Premiership,ALG,FRA,-,,Scouting Required,57000.0,€5M - €98M,-,Right,1,4.49,38,0,3,67%,2,-,-,-,3,3096,0.15,-,5,24,37,0.13,0.51,0.11,3.82,-,-,6.81,0.00,3,129,38 (3),1.72,59,82,72%,0.90,52%,0.47,16,0.23,0.00,0,31,-,-,-,-,2.99,103,2.7,93,10.35,356,10.55,12.35,38.9,1338,44.22,1521,88%,0.99,34,0.03,1,0.84,29,53%,2,0,0.09,3,1.74,60,0.03,1.72,59,10.76,34%,1.28,44,2.47,1,-,-,-,1.51,52,0.0km,442.1km,0.52,18,3.23,111,3%,16%,0.67,23,4,0.26,0.41,14,0.09,3.75,"['MC', 'AMC']"
24055163,Ante Palaversa,"DM, M (C)",26,187 cm,77 kg,Inj,Aberdeen,William Hill Premiership,CRO,,-,,Scouting Required,5500.0,€30K - €325K,-,Right,2,0.76,10,0,0,-,0,-,-,-,0,1169,0.15,-,2,7,11,0.06,1.24,0.41,5.39,-,-,6.9,0.00,4,38,10 (23),1.85,24,30,80%,0.69,22%,0.15,2,0.31,0.08,1,9,-,-,-,-,4.08,53,2.46,32,9.62,125,13.7,9.16,43.04,559,48.96,636,88%,1.39,18,0.15,2,0.54,7,67%,0,0,0.0,0,1.39,18,0.08,1.39,18,11.7,39%,1.15,15,1.77,1,-,-,-,0.69,9,0.0km,173.1km,0.15,2,0.54,7,28%,22%,0.77,10,4,0.78,0.38,5,0.31,2.93,['MC']
2000172480,Emmanuel Gyamfi,D/M/AM (L),21,178 cm,71 kg,Wnt,Aberdeen,William Hill Premiership,GHA,GER,-,,Scouting Required,2400.0,€130K - €13M,-,Left Only,0,1.15,18,0,1,-,0,-,-,-,0,1855,0.05,-,1,20,12,0.06,-0.15,0.1,2.0,-,-,6.87,0.00,2,115,18 (12),2.38,49,63,78%,0.44,22%,0.10,2,0.15,0.24,5,9,-,-,-,-,4.71,97,2.52,52,8.44,174,8.73,16.16,34.64,714,41.63,858,83%,1.65,34,0.39,8,2.96,61,41%,2,0,0.19,4,1.65,34,0.19,1.46,30,13.1,52%,2.91,60,2.67,0,-,-,-,1.80,37,0.0km,264.8km,0.39,8,2.96,61,13%,11%,1.6,33,4,0.63,0.92,19,0.10,5.58,"['DL', 'ML', 'AML']"
